"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","woba","xwoba","solidcontact_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","oz_contact_percent","out_zone_percent","iz_contact_percent","in_zone_percent","whiff_percent","swing_percent","f_strike_percent"
"Ohtani, Shohei",660271,2024,29,636,731,197,98,38,7,54,162,81,22.2,11.1,".310",".646",".390","1.036",".431",".441",9,60.1,"106.727792385","98.772122364",69.7,23.1,26.6,46.1,53.9,52,76.9,48,29.8,47.3,61
"Perez, Salvador",521692,2024,34,590,652,160,105,28,0,27,129,44,19.8,6.7,".271",".456",".330","0.786",".335",".361",6.6,44.8,"101.856275647","95.341857371",77.3,18.3,42.9,41,59,56.6,81.7,43.4,27.8,57.8,65.7
"Busch, Michael",683737,2024,26,496,567,123,72,28,2,21,162,63,28.6,11.1,".248",".440",".335","0.775",".336",".319",6.5,39.9,"99.992212321","94.35127744",68.6,20.2,23.2,51.1,48.9,51.7,79.8,48.3,28.4,45.2,61
"Neto, Zach",687263,2024,23,542,602,135,77,34,1,23,140,39,23.3,6.5,".249",".443",".318","0.761",".330",".317",8.4,38.8,"100.130832864","94.28058907",67.9,17.8,31.3,45.8,54.2,51.9,82.2,48.1,27.1,48.9,62.1
"Smith, Josh",669701,2024,26,523,592,135,91,30,1,13,121,46,20.4,7.8,".258",".394",".337","0.731",".323",".304",5.7,37.1,"98.306997711","93.25999596",66.9,14.9,25.9,40.9,59.1,48.3,85.1,51.7,21.8,47.1,65
"Bohm, Alec",664761,2024,27,554,606,155,94,44,2,15,86,40,14.2,6.6,".280",".448",".332","0.780",".335",".343",9.1,45.6,"100.768220847","94.781662669",71.1,10.5,27.2,37.2,62.8,48.8,89.5,51.2,17.6,49.7,60.9
"Lindor, Francisco",596019,2024,30,618,689,169,96,39,1,33,127,56,18.4,8.1,".273",".500",".344","0.844",".363",".379",5.7,47.4,"101.098117236","95.07615815",69.9,17.5,26.3,41,59,48.5,82.5,51.5,23.7,48.7,60.2
"Taveras, Leody",665750,2024,25,480,529,110,78,17,3,12,112,42,21.2,7.9,".229",".352",".289","0.641",".282",".295",5.3,35.5,"99.173170874","93.650113205",69.5,17.4,29,46.3,53.7,51.1,82.6,48.9,26.2,48.8,62.6
"Profar, Jurickson",595777,2024,31,564,668,158,105,29,0,24,101,76,15.1,11.4,".280",".459",".380","0.839",".365",".364",4.9,44.4,"100.952441293","94.862553707",68.6,12.1,21.9,33.1,66.9,49.3,87.9,50.7,17,45.6,60.2
"Young, Jacob",696285,2024,24,468,521,120,92,24,1,3,102,30,19.6,5.8,".256",".331",".316","0.647",".290",".286",2.9,28.9,"96.872142235","92.486924676",60.3,12.1,27.8,36.6,63.4,47.4,87.9,52.6,19.3,44.9,64.7
"Thomas, Lane",657041,2024,28,472,528,112,68,26,3,15,137,44,25.9,8.3,".237",".400",".309","0.709",".309",".307",7.1,40.6,"100.376555353","94.3557595",64,17.2,22.9,40.9,59.1,49.3,82.8,50.7,23.3,43.8,62.6
"Rooker, Brent",667670,2024,29,546,614,160,93,26,2,39,177,59,28.8,9.6,".293",".562",".365","0.927",".392",".379",8.6,49.6,"103.25238457","96.193453235",72.6,21.1,31,60.2,39.8,53.9,78.9,46.1,34.1,50.2,63.8
"Arraez, Luis",650333,2024,27,637,672,200,161,32,3,4,29,24,4.3,3.6,".314",".392",".346","0.738",".323",".325",3.8,23.7,"94.838000362","91.449624457",63,4.7,35.3,11.3,88.7,47.8,95.3,52.2,6.9,49.8,61.3
"Sánchez, Jesús",660821,2024,26,489,537,123,79,25,1,18,140,41,26.1,7.6,".252",".417",".313","0.730",".317",".342",7.1,51.3,"104.556000571","96.923820315",73.5,21.9,36.1,47.2,52.8,54.2,78.1,45.8,31.2,53.2,67
"Rutschman, Adley",668939,2024,26,571,638,143,102,21,1,19,103,58,16.1,9.1,".250",".391",".318","0.709",".309",".315",4.8,36.6,"98.081119454","93.149039684",60.1,12.1,28.9,27.5,72.5,50.1,87.9,49.9,17.1,44.5,59.7
"Betts, Mookie",605141,2024,31,450,516,130,82,24,5,19,57,61,11,11.8,".289",".491",".372","0.863",".371",".357",10.1,39.5,"98.50877402","93.575257103",60.8,6.1,21.1,38.7,61.3,51.4,93.9,48.6,14.9,40.4,61
"Seager, Corey",608369,2024,30,475,533,132,81,21,0,30,96,53,18,9.9,".278",".512",".353","0.865",".365",".387",9.7,50.7,"103.274395474","96.157523456",79.5,13.5,27.8,50.2,49.8,51.2,86.5,48.8,23.4,53,62.2
"Adames, Willy",642715,2024,28,610,688,153,88,33,0,32,173,74,25.1,10.8,".251",".462",".331","0.793",".342",".339",8.6,40.7,"99.769639045","94.108759136",71.2,21.1,28.1,50.5,49.5,50.5,78.9,49.5,29.5,49.5,59.9
"Hernández, Teoscar",606192,2024,31,589,652,160,93,32,2,33,188,53,28.8,8.1,".272",".501",".339","0.840",".360",".345",7.5,46.8,"102.727395423","95.689116559",74.7,25,28.7,56.4,43.6,51.2,75,48.8,34,51.2,64.7
"Machado, Manny",592518,2024,31,593,643,163,104,30,0,29,124,45,19.3,7,".275",".472",".325","0.797",".340",".338",5.9,48.8,"103.370494128","96.17209183",72.4,16.2,29.7,45.3,54.7,48.6,83.8,51.4,24.4,51.6,63.3
"Henderson, Gunnar",683002,2024,23,630,719,177,102,31,7,37,159,78,22.1,10.8,".281",".529",".364","0.893",".381",".374",8.6,53.9,"104.002332911","96.835723291",66.7,17.5,23.2,42.8,57.2,51.6,82.5,48.4,24.4,44.2,55.6
"Keith, Colt",690993,2024,22,516,556,134,102,15,4,13,110,36,19.8,6.5,".260",".380",".309","0.689",".301",".310",5.1,35.3,"98.472613627","93.330372181",67.9,13.4,29.9,44.4,55.6,50.8,86.6,49.2,23.2,48.6,61.9
"Devers, Rafael",646240,2024,27,525,601,143,76,34,5,28,147,67,24.5,11.1,".272",".516",".354","0.870",".364",".364",8.6,52.6,"104.597925864","97.090537461",73.8,28.1,30.4,36.8,63.2,52.7,71.9,47.3,30.9,50.9,60.7
